20,795
21,795
22,795
23,795
24,795
25,795
26,795
27,795
28,795
29,795
30,795
31,795
33,795
34,795
40,795
41,795
42,795
43,795
44,795
45,795
46,795
47,795
50,795
51,795
10,1095
11,1095
12,1095
13,1095
14,1095
15,1095
16,1095
17,1095
18,1095
19,1095
35,1095
36,1095
37,1095
38,1095
39,1095
52,1095
53,1095
54,1095
55,1095
56,1095
57,1095
58,1095
59,1095
60,1095
61,1095
63,1095
64,1095
65,1095
66,1095
67,1095
68,1095
69,1095
70,1095
71,1095
72,1095
73,1095
74,1095
75,1095
76,1095
77,1095
78,1395
79,1395
80,1395
81,1395
82,1395
83,1395
84,1395
85,1395
86,1395
87,1395
88,1395
89,1395
90,1795
91,1795
92,1795
93,1795
94,1795
95,1795
96,1795
97,1795
98,1795
62,1595
